iter	MultiClass
0	1.029941948
1	0.9747528797
2	0.9267000945
3	0.8873224866
4	0.8564330753
5	0.8274400924
6	0.7977541458
7	0.7777981229
8	0.7513909855
9	0.7291861568
10	0.7091124423
11	0.6916049579
12	0.6758807043
13	0.6618338567
14	0.6484288372
15	0.6363698426
16	0.6276435395
17	0.6185468444
18	0.6102898592
19	0.6055304332
20	0.5966123245
21	0.5876947993
22	0.5826992832
23	0.5761237254
24	0.568893064
25	0.5649013664
26	0.5603299567
27	0.5577029615
28	0.5527790243
29	0.5474668704
30	0.5443167225
31	0.541594241
32	0.5399188133
33	0.5376144778
34	0.5332402167
35	0.5312958399
36	0.5287033974
37	0.5269994366
38	0.5238961884
39	0.522180794
40	0.5199641836
41	0.517757074
42	0.5151791996
43	0.5132452196
44	0.5112205128
45	0.5097194815
46	0.5070451941
47	0.5042064707
48	0.5019421467
49	0.5003227893
50	0.4985658139
51	0.4961607079
52	0.4946884854
53	0.4928287017
54	0.4917056418
55	0.4886951442
56	0.4878238999
57	0.4853188566
58	0.4839443303
59	0.4823959238
60	0.4815982027
61	0.4798734935
62	0.4778783968
63	0.4767799641
64	0.4753325353
65	0.473579341
66	0.4723943376
67	0.470055004
68	0.4685227813
69	0.4665440185
70	0.464985914
71	0.4629822428
72	0.4617224006
73	0.4604334176
74	0.4591152729
75	0.4574174112
76	0.4561463271
77	0.454494035
78	0.4534568206
79	0.450670632
80	0.4498378709
81	0.4485383471
82	0.4477213001
83	0.446179303
84	0.4440851241
85	0.4430243962
86	0.4420058678
87	0.440977767
88	0.4394876092
89	0.438514083
90	0.4372685285
91	0.4349364454
92	0.4338872943
93	0.4326679902
94	0.430716159
95	0.4300846727
96	0.4291623608
97	0.4276542491
98	0.4268000013
99	0.4256326487
100	0.423337373
101	0.4222510451
102	0.4202392781
103	0.4188694466
104	0.418071655
105	0.4166684826
106	0.415277791
107	0.4140718428
108	0.4128187261
109	0.411621527
110	0.4105182621
111	0.4096969799
112	0.4088074447
113	0.4077687425
114	0.4068242546
115	0.4059306461
116	0.4053451399
117	0.4047485421
118	0.403384812
119	0.4025117744
120	0.4015331831
121	0.4003983306
122	0.3994126663
123	0.3982199044
124	0.3972068464
125	0.3963224479
126	0.3954473071
127	0.3946471285
128	0.3933550075
129	0.3925884127
130	0.3917819016
131	0.3913498455
132	0.3908197011
133	0.3896914974
134	0.3888712855
135	0.3882598035
136	0.3874581541
137	0.3865863098
138	0.3860000597
139	0.3855757935
140	0.3848718284
141	0.3835744777
142	0.3828866659
143	0.3815662858
144	0.3805693284
145	0.3795579068
146	0.3788557048
147	0.3773905717
148	0.3768560322
149	0.3761100709
150	0.3754994081
151	0.374632982
152	0.3741205326
153	0.3735752672
154	0.3729136012
155	0.3725338392
156	0.3719284465
157	0.3712550301
158	0.3703441913
159	0.3694055855
160	0.3686957762
161	0.3681677793
162	0.3675778358
163	0.3667125414
164	0.3656304832
165	0.3652173881
166	0.3642694701
167	0.3636104485
168	0.3624432111
169	0.3614760091
170	0.3609915923
171	0.3603772794
172	0.3598420247
173	0.3593399859
174	0.3585678265
175	0.3576702201
176	0.356796241
177	0.3563358255
178	0.355347794
179	0.354638276
180	0.3540941
181	0.3536288889
182	0.3531783922
183	0.3524148358
184	0.3517536959
185	0.3505222601
186	0.350067439
187	0.3489259221
188	0.348073673
189	0.3473017063
190	0.3466263708
191	0.3460623883
192	0.3455466342
193	0.344950307
194	0.3442793765
195	0.3434968891
196	0.3428627344
197	0.3419621206
198	0.3410377519
199	0.3405923701
200	0.3399985334
201	0.3392796178
202	0.3388849231
203	0.3382114259
204	0.337452333
205	0.3370183243
206	0.3363840461
207	0.3357960672
208	0.3351348908
209	0.3347169083
210	0.3339134087
211	0.3334789711
212	0.332793497
213	0.332192226
214	0.3317623009
215	0.3312689365
216	0.3304263227
217	0.3298647272
218	0.3291229362
219	0.3285237187
220	0.3279633906
221	0.3272712228
222	0.32662998
223	0.3258834576
224	0.3253084796
225	0.3242333214
226	0.3237734861
227	0.3234186404
228	0.3225968114
229	0.3211924049
230	0.3207017819
231	0.319856655
232	0.3192387405
233	0.3188062558
234	0.3183901913
235	0.3176887776
236	0.3173362157
237	0.3169490374
238	0.3166381563
239	0.3163776579
240	0.3156770985
241	0.3148141405
242	0.3143715384
243	0.3138971178
244	0.3133557977
245	0.3129897042
246	0.3122794705
247	0.3116681181
248	0.3113090362
249	0.3107643376
250	0.3099535763
251	0.3095454791
252	0.3085871536
253	0.3078906561
254	0.3072218271
255	0.3065266541
256	0.3061345051
257	0.3057157902
258	0.3053666512
259	0.3047394436
260	0.3039431363
261	0.3036130777
262	0.30332197
263	0.302715412
264	0.3019944334
265	0.3012550548
266	0.3006469677
267	0.300201206
268	0.2994342377
269	0.2989007681
270	0.2984065428
271	0.297867603
272	0.2973462349
273	0.2968548413
274	0.2962844588
275	0.2957055514
276	0.2953305994
277	0.2948652629
278	0.2942248864
279	0.2937864266
280	0.2932242905
281	0.2925786218
282	0.2918091882
283	0.2915305017
284	0.29084897
285	0.2901405294
286	0.2895133837
287	0.2889544543
288	0.2886647764
289	0.2883541941
290	0.2878028737
291	0.2869186235
292	0.2866267523
293	0.2861924783
294	0.2857925604
295	0.2849072103
296	0.2842661809
297	0.2836560316
298	0.2833036094
299	0.2829890163
